Task_ID,Project,Summary,Assignee,Priority,IssueType,Estimated_Seconds,Spent_Seconds,Created,ResolutionDate,Status,Depends_On,Task_Tag,Assignee_ID
MACR-23,MACR,Upgrade Maven 3.X Only JDK 1.6,A-1661,Critical,Improvement,,,2015-11-26T21:59:13.000+0000,2015-11-26T22:02:49.000+0000,Closed,,Build & Release Engineering,A-1661
MACR-22,MACR,Remove unnecessary exclusions of org.codehaus.plexus:plexus-component-api,A-1661,Minor,Improvement,,,2014-12-06T15:02:54.000+0000,2014-12-06T15:04:36.000+0000,Closed,,Design & API Evolution,A-1661
MACR-21,MACR,Upgrade from plexus-archiver 2.4.4 to 2.9,A-2967,Major,Improvement,,,2014-11-30T11:51:05.000+0000,2014-11-30T11:52:41.000+0000,Closed,,Feature / Improvement Implementation,A-2967
MACR-20,MACR,Upgrade maven-plugin-testing-harness to 1.3,A-1661,Minor,Improvement,,,2014-11-23T10:24:13.000+0000,2014-11-23T10:26:15.000+0000,Closed,,Testing & Verification,A-1661
MACR-19,MACR,Upgrade to maven-plugins parent version 27,A-1661,Minor,Improvement,,,2014-11-18T15:30:52.000+0000,2014-11-18T15:31:58.000+0000,Closed,,Build & Release Engineering,A-1661
MACR-18,MACR,Upgrade to maven-plugins version 25 to 26,A-1661,Minor,Improvement,,,2014-11-11T14:56:25.000+0000,2014-11-11T19:15:32.000+0000,Closed,,Build & Release Engineering,A-1661
MACR-17,MACR,Upgrade plexus-archiver 2.7.1 to 2.8.2,A-1661,Minor,Improvement,,,2014-11-11T14:54:42.000+0000,2014-11-11T19:28:58.000+0000,Closed,,Feature / Improvement Implementation,A-1661
MACR-16,MACR,Upgrade maven-archiver to 2.6,A-1661,Minor,Improvement,,,2014-11-11T14:53:28.000+0000,2014-11-11T19:27:21.000+0000,Closed,,Build & Release Engineering,A-1661
MACR-15,MACR,Upgrade maven-filtering to 1.3,A-1661,Minor,Improvement,,,2014-10-27T14:36:27.000+0000,2014-10-27T14:37:18.000+0000,Closed,,Build & Release Engineering,A-1661
MACR-14,MACR,Upgrade plexus-interpolation to 1.21,A-1661,Minor,Improvement,,,2014-10-18T16:56:18.000+0000,2014-10-18T16:59:55.000+0000,Closed,,Feature / Improvement Implementation,A-1661
MACR-13,MACR,Update version of plexus-archiver to 2.7.1,A-1661,Minor,Improvement,,,2014-10-18T16:51:29.000+0000,2014-10-18T16:55:49.000+0000,Closed,,Feature / Improvement Implementation,A-1661
MACR-12,MACR,Update version of plexus-archiver to 2.5,A-2967,Minor,Improvement,,,2014-09-24T14:40:40.000+0000,2014-09-24T14:41:55.000+0000,Closed,,Feature / Improvement Implementation,A-2967
MACR-11,MACR,Using maven-plugins parent version 25.,A-1661,Major,Task,,,2014-09-02T15:33:04.000+0000,2014-09-02T15:35:23.000+0000,Closed,,Build & Release Engineering,A-1661
MACR-10,MACR,Upgrade maven-filtering to 1.2,A-1661,Minor,Task,,,2014-08-08T16:10:58.000+0000,2014-08-08T16:14:36.000+0000,Closed,,Build & Release Engineering,A-1661
MACR-9,MACR,Upgrade plexus-archiver to 2.4.4,A-1661,Minor,Task,,,2014-08-08T16:05:47.000+0000,2014-09-06T02:09:47.000+0000,Closed,,Project / General Task,A-1661
MACR-8,MACR,Get IT's working,A-1661,Major,Task,,,2014-06-14T18:44:55.000+0000,2014-06-14T18:49:14.000+0000,Closed,,Project / General Task,A-1661
MACR-7,MACR,Removed warnings during build,A-1661,Critical,Task,,,2014-06-14T18:24:20.000+0000,2014-06-14T18:37:29.000+0000,Closed,,Build & Release Engineering,A-1661
MACR-6,MACR,use maven-plugin-tools' java 5 annotations,A-7674,Major,Task,,,2012-07-11T03:11:23.000+0000,2012-07-11T03:48:43.000+0000,Closed,,Build & Release Engineering,A-7674
MACR-5,MACR,Usage page is wrong: Maven 3.0.4 does not include ACR plugin,A-1661,Minor,Bug,,,2012-03-24T11:01:32.000+0000,2014-08-28T13:02:07.000+0000,Closed,,Bug fixing / Maintenance,A-1661
MACR-2,MACR,Initial documentation,A-7670,Major,Improvement,,,2011-03-26T05:57:26.000+0000,2011-03-26T06:27:46.000+0000,Closed,,Feature / Improvement Implementation,A-7670
MACR-1,MACR,Initial version of the plugin,A-7670,Major,New Feature,,,2011-03-21T01:02:37.000+0000,2011-03-21T01:11:08.000+0000,Closed,,Feature / Improvement Implementation,A-7670
