Project,Tasks
MARTIFACT,56
MJDEPS,54
MJMOD,54
WEAVER,52
MSTAGE,52
POSTAGE,50
PORTALS,50
OPENAZ,48
NUVEM,48
PRC,46
SITE,44
SB,44
TREQ,42
TILESSHARED,42
NEETHI,42
MFHTML5,42
WHISKER,40
TEXEN,38
JCRTCK,38
SAND,34
PULSAR,34
STUDIO,32
OPENWIRE,32
MPATCH,32
KATO,32
HERMES,32
TILESSHOW,30
TENTACLES,30
PINOT,28
SUPERSET,26
SAVAN,26
PRIMITIVES,26
TESTING,24
LAUNCHER,24
WADI,22
PEGASUS,22
ORP,22
TILESSB,20
KAND,20
VELOCITYSB,18
NUTTX,18
JACOB,18
MSCRIPTING,16
MIRAE,16
LOKAHI,16
LCN4C,16
INFRACLOUD1,16
TRIPLES,12
OWC,12
JCRSERVLET,12
TRANSPORTS,10
TATPI,10
HERALDRY,10
NIFILIBS,8
MJDEPRSCAN,8
TOOLS,6
JCRCL,6
JCRBENCH,6
TSIK,4
TEST6,4
STOMP,4
RBATIS,4
ZIPKIN,2
TEVAL,2
PLANET,2
MYNEWT,2
KI,2
INFRATEST3,2
