from_issue_key,to_issue_key,link_type,raw_link_type,direction,from_summary,to_summary,same_group,same_component,same_release
OFBIZ-5800,OFBIZ-5760,is blocked by,Blocker,inward,Manage multi pk with sub-sequence on entity-auto,Convert HR entites CRUD service from simple to entity-auto,0,0,0
OFBIZ-6084,OFBIZ-5629,is blocked by,Blocker,inward,Find account doesn't return accounts anymore,Pagination at find WorkEffort screen does not work,0,0,0
OFBIZ-5521,OFBIZ-5305,blocks,Blocker,outward,WebAppUtil.getWebappInfoFromWebsiteId throws IllegalArgumentException when web.xml not found,The path /content/images/ is used in some places (only for contentForum.css it seems) but no mount point is associated,0,0,0
OFBIZ-5396,OFBIZ-5400,is blocked by,Blocker,inward,"Add ability to set <drop-down>, <radio>, <check> form widget field key values manually",Improve shopping cart to better handle a large number of ship groups and item associations,0,0,0
OFBIZ-5396,OFBIZ-5400,blocks,Blocker,outward,"Add ability to set <drop-down>, <radio>, <check> form widget field key values manually",Improve shopping cart to better handle a large number of ship groups and item associations,0,0,0
OFBIZ-5312,OFBIZ-5805,blocks,Blocker,outward,Proposal: URL-Generation Changes (mostly for SEO reasons but not only),robot-friendly category listing,0,0,0
OFBIZ-5521,OFBIZ-5305,is blocked by,Blocker,inward,WebAppUtil.getWebappInfoFromWebsiteId throws IllegalArgumentException when web.xml not found,The path /content/images/ is used in some places (only for contentForum.css it seems) but no mount point is associated,0,0,0
OFBIZ-5292,OFBIZ-5293,is blocked by,Blocker,inward,Data can not be added to the Component entity,Data can not be added to the TenantComponent entity,0,0,0
OFBIZ-5292,OFBIZ-5293,blocks,Blocker,outward,Data can not be added to the Component entity,Data can not be added to the TenantComponent entity,0,0,0
OFBIZ-4065,OFBIZ-4052,blocks,Blocker,outward,"bug in UtilIO.copy(Reader reader, boolean closeIn, Appendable out)",Update Docbook files and give a nice look to doc,0,0,0
OFBIZ-4065,OFBIZ-4052,is blocked by,Blocker,inward,"bug in UtilIO.copy(Reader reader, boolean closeIn, Appendable out)",Update Docbook files and give a nice look to doc,0,0,0
OFBIZ-2000,OFBIZ-3978,is blocked by,Blocker,inward,Added check availability functionality on new create profile page of e commerce.,Ecommerce Migration,0,0,0
OFBIZ-3667,OFBIZ-3846,is blocked by,Blocker,inward,Calendar rendered position too low when you scroll in a layered lookup,Calendar issue in EditCategoryProducts screen,0,0,0
OFBIZ-3790,OFBIZ-1984,blocks,Blocker,outward,email password broken,Adding forgot password feature in framework,0,0,0
OFBIZ-3233,OFBIZ-3766,is blocked by,Blocker,inward,Implement FTL macro renderer for the menu widget,MacroScreenRenderer still uses HtmlFormRenderer (dependencies on html renderers),0,0,0
