issue_key,summary,group_key,group_domain,group_release,group_worktype,group_priority,group_has_pr,dev_has_activity,indegree,outdegree,component_id,is_root,is_leaf
OFBIZ-10053,Countyfilter in ZipSalesService.getItemTaxList() is never applied,,,,,,,,0,0,6174,1,1
OFBIZ-10054,Product content management screen doesn't validate trusted users' input,,,,,,,,0,0,439,1,1
OFBIZ-10055,Update markup of Home page product summary section to standard markup given by Bootstrap v4.0.0,,,,,,,,0,0,7586,1,1
OFBIZ-10056,[FB] Package org.apache.ofbiz.order.order,,,,,,,,0,0,4981,1,1
OFBIZ-10057,"Using ""gradlew svnInfoFooter"" while OFBiz is running breaks the admin password",,,,,,,,0,0,7069,1,1
OFBIZ-10058,Issues in error.log both locally and in trunk demo,,,,,,,,0,0,4939,1,1
OFBIZ-10059,The wiki FAQ needs a serious clean up,,,,,,,,0,0,6252,1,1
OFBIZ-1006,Webtools Find on Credit Card entity fails,,,,,,,,0,0,469,1,1
OFBIZ-10060,[FB] Package org.apache.ofbiz.accounting.thirdparty.valuelink,,,,,,,,0,0,6604,1,1
OFBIZ-10061,[FB] Package org.apache.ofbiz.service.jms,,,,,,,,0,0,8286,1,1
OFBIZ-10062,[Refactoring] Package org.apache.ofbiz.order.shoppinglist,,,,,,,,0,0,5186,1,1
OFBIZ-10063,[Refactoring] Package org.apache.ofbiz.order.test,,,,,,,,0,0,12213,1,1
OFBIZ-10064,[Refactoring] Package org.apache.ofbiz.order.thirdparty.paypal,,,,,,,,0,0,2103,1,1
OFBIZ-10065,[Refactoring] Package org.apache.ofbiz.order.shoppingcart.product,,,,,,,,0,0,7374,1,1
OFBIZ-10066,[Refactoring] Package org.apache.ofbiz.party.communication,,,,,,,,0,0,5670,1,1
OFBIZ-10067,[Refactoring] Package org.apache.ofbiz.party.contact,,,,,,,,0,0,684,1,1
OFBIZ-10068,[Refactoring] Package org.apache.ofbiz.party.party,,,,,,,,0,0,9107,1,1
OFBIZ-10069,[Refactoring] Package org.apache.ofbiz.product.config,,,,,,,,0,0,3313,1,1
OFBIZ-1007,Set decimal places to show for ofbizCurrencyTransform,,,,,,,,0,0,3885,1,1
OFBIZ-10070,[Refactoring] Package org.apache.ofbiz.product.image ,,,,,,,,0,0,1057,1,1
OFBIZ-10071,[Refactoring] Package org.apache.ofbiz.product.imagemanagement,,,,,,,,0,0,10059,1,1
OFBIZ-10072,[Refactoring] Package org.apache.ofbiz.product.inventory,,,,,,,,0,0,3091,1,1
OFBIZ-10073,[Refactoring] Package org.apache.ofbiz.product.product,,,,,,,,0,0,12007,1,1
OFBIZ-10074,[Refactoring] Package org.apache.ofbiz.product.subscription,,,,,,,,0,0,11644,1,1
OFBIZ-10075,[Refactoring] Package org.apache.ofbiz.product.supplier,,,,,,,,0,0,330,1,1
OFBIZ-10076,[Refactoring] Package org.apache.ofbiz.product.test,,,,,,,,0,0,11257,1,1
OFBIZ-10077,[Refactoring] Package org.apache.ofbiz.content.data,,,,,,,,0,0,12376,1,1
