Task_ID,Topo_Level,Batch_Index,Summary,Task_Tag,Priority,Duration_Hours,Assigned_To,Start_Hour,End_Hour,Skill_Match
1508,1,1,Error in Feature Type creation,Bug fixing / Maintenance,Trivial,1.6,A-119,0.0,1.6,1
1509,1,1,Product Id for SEO,Feature / Improvement Implementation,Trivial,1.6,A-385,0.0,1.6,0
1510,1,1,Unknown buffered image type for PNG image,Bug fixing / Maintenance,Trivial,1.6,A-333,0.0,1.6,1
152,1,1,Demo of warehouse functionality on handheld,Feature / Improvement Implementation,Trivial,1.6,A-266,0.0,1.6,1
1530,1,1,"HTML : Select option disabled=""disabled"" doesn't work with IE",Bug fixing / Maintenance,Trivial,1.6,A-96,0.0,1.6,1
1555,1,1,New targets for custom component's build.xml file,Build & Release Engineering,Trivial,1.6,A-216,0.0,1.6,1
1565,1,1,Add Cancel Order Functionality to https://localhost:8443/ordermgr/control/orderview,Feature / Improvement Implementation,Trivial,1.6,A-347,0.0,1.6,0
1589,1,1,Replace the footer in  BizznessTime theme,Other,Trivial,1.6,A-275,0.0,1.6,0
16,1,1,Add Company logo to PackingSlip.pdf,Feature / Improvement Implementation,Trivial,1.6,A-271,0.0,1.6,0
1608,1,1,"{code}, {quote}, {warning} should be centered and ""stretchable""",Other,Trivial,1.6,A-142,0.0,1.6,0
161,1,1,ant target run-install-seed should depend on run-install,Feature / Improvement Implementation,Trivial,1.6,A-55,0.0,1.6,1
1617,1,1,ij.ofbiz does not work,Bug fixing / Maintenance,Trivial,1.6,A-296,0.0,1.6,1
1639,1,1,Improved functionality of mergefromtrunk.sh,Feature / Improvement Implementation,Trivial,1.6,A-302,0.0,1.6,0
1662,1,1,BizznessTime Theme : login and pwd zones are too long in login screen,Other,Trivial,1.6,A-365,0.0,1.6,0
1665,1,1,BizznessTime Theme : error and event messages should not dissapear by default,Other,Trivial,1.6,A-58,0.0,1.6,1
1668,1,1,"Add an ant ""clean-tempfiles"" target in main build.xml",Build & Release Engineering,Trivial,1.6,A-259,0.0,1.6,0
167,1,1,simplify date seizure,Feature / Improvement Implementation,Trivial,1.6,A-185,0.0,1.6,0
1671,1,1,The top of the results page (search)  is scrambled ,Other,Trivial,1.6,A-205,0.0,1.6,0
1672,1,1,Breadcrumb appears as ...>  in top of some pages,Other,Trivial,1.6,A-60,0.0,1.6,1
1692,1,1,scale image with less artefacts,Feature / Improvement Implementation,Trivial,1.6,A-240,0.0,1.6,1
1698,1,1,On Windows with FF3 you can't edit a textfield using the inplace ajax editor,Bug fixing / Maintenance,Trivial,1.6,A-74,0.0,1.6,1
17,1,1,Debug.logVerbose instead of Debug.logInfo in JavaMailContainer.java,Feature / Improvement Implementation,Trivial,1.6,A-257,0.0,1.6,0
1718,1,1,Adding Google Checkout Jar file in OFBiz trunk.,Build & Release Engineering,Trivial,1.6,A-245,0.0,1.6,1
1723,1,1,Localized Unit Price input field in showcartitems.ftl,Feature / Improvement Implementation,Trivial,1.6,A-410,0.0,1.6,1
174,1,1,use file.getCanonicalFile() in fromFilename,Feature / Improvement Implementation,Trivial,1.6,A-399,0.0,1.6,0
