from_issue_key,to_issue_key,link_type,raw_link_type,direction
ZOOKEEPER-1661,ZOOKEEPER-1652,is a clone of,Cloners,outward
ZOOKEEPER-1661,ZOOKEEPER-1476,relates to,Reference,outward
ZOOKEEPER-1660,ZOOKEEPER-1727,contains,Container,outward
ZOOKEEPER-1660,ZOOKEEPER-1411,depends upon,dependent,outward
ZOOKEEPER-1660,ZOOKEEPER-1355,depends upon,dependent,outward
ZOOKEEPER-1660,ZOOKEEPER-107,depends upon,dependent,outward
ZOOKEEPER-1659,ZOOKEEPER-107,depends upon,dependent,outward
ZOOKEEPER-1657,ZOOKEEPER-1512,contains,Container,outward
ZOOKEEPER-1657,ZOOKEEPER-1623,contains,Container,outward
ZOOKEEPER-1657,ZOOKEEPER-1764,supercedes,Supercedes,outward
ZOOKEEPER-1249,ZOOKEEPER-1655,is duplicated by,Duplicate,inward
ZOOKEEPER-1655,YARN-2815,relates to,Reference,outward
ZOOKEEPER-1655,ZOOKEEPER-1718,relates to,Reference,outward
HADOOP-9342,ZOOKEEPER-1655,is related to,Reference,inward
ZOOKEEPER-1653,ZOOKEEPER-2162,relates to,Reference,outward
ZOOKEEPER-4269,ZOOKEEPER-1653,is related to,Reference,inward
ZOOKEEPER-1666,ZOOKEEPER-1652,is blocked by,Blocker,inward
ZOOKEEPER-1661,ZOOKEEPER-1652,is cloned by,Cloners,inward
ZOOKEEPER-1652,ZOOKEEPER-1666,duplicates,Duplicate,outward
ZOOKEEPER-3179,ZOOKEEPER-1651,is duplicated by,Duplicate,inward
ZOOKEEPER-1650,ZOOKEEPER-1862,duplicates,Duplicate,outward
ZOOKEEPER-1648,ZOOKEEPER-1557,relates to,Reference,outward
ZOOKEEPER-1147,ZOOKEEPER-1648,is depended upon by,dependent,inward
ZOOKEEPER-1647,ZOOKEEPER-1334,relates to,Reference,outward
ZOOKEEPER-1647,ZOOKEEPER-1645,relates to,Reference,outward
ZOOKEEPER-1742,ZOOKEEPER-1646,is related to,Reference,inward
ZOOKEEPER-1795,ZOOKEEPER-1646,is related to,Reference,inward
ZOOKEEPER-1647,ZOOKEEPER-1645,is related to,Reference,inward
ZOOKEEPER-1644,ZOOKEEPER-706,relates to,Reference,outward
BIGTOP-2082,ZOOKEEPER-1643,Is contained by,Container,inward
ZOOKEEPER-1634,ZOOKEEPER-2462,relates to,Reference,outward
ZOOKEEPER-1634,ZOOKEEPER-2526,relates to,Reference,outward
ZOOKEEPER-3561,ZOOKEEPER-1634,is depended upon by,dependent,inward
ZOOKEEPER-107,ZOOKEEPER-1633,is required by,Required,inward
ZOOKEEPER-1632,ZOOKEEPER-1556,relates to,Reference,outward
ZOOKEEPER-1626,ZOOKEEPER-2516,relates to,Reference,outward
ZOOKEEPER-1366,ZOOKEEPER-1626,is related to,Reference,inward
ZOOKEEPER-1626,ZOOKEEPER-2178,breaks,Regression,outward
ZOOKEEPER-1625,ZOOKEEPER-107,blocks,Blocker,outward
ZOOKEEPER-1411,ZOOKEEPER-1625,is broken by,Regression,inward
ZOOKEEPER-1657,ZOOKEEPER-1623,Is contained by,Container,inward
ZOOKEEPER-1623,ZOOKEEPER-1512,relates to,Reference,outward
ZOOKEEPER-1623,ZOOKEEPER-1550,relates to,Reference,outward
ZOOKEEPER-1623,ZOOKEEPER-1510,relates to,Reference,outward
ZOOKEEPER-1504,ZOOKEEPER-1620,is related to,Reference,inward
ZOOKEEPER-107,ZOOKEEPER-1620,is depended upon by,dependent,inward
ZOOKEEPER-1616,ZOOKEEPER-1366,duplicates,Duplicate,outward
ZOOKEEPER-2024,ZOOKEEPER-1609,is superceded by,Supercedes,inward
ZOOKEEPER-1608,ZOOKEEPER-3783,relates to,Reference,outward
ZOOKEEPER-1607,ZOOKEEPER-1147,depends upon,dependent,outward
ZOOKEEPER-2124,ZOOKEEPER-1604,is related to,Reference,inward
ZOOKEEPER-2275,ZOOKEEPER-1604,is related to,Reference,inward
ZOOKEEPER-1604,ZOOKEEPER-2007,supercedes,Supercedes,outward
ZOOKEEPER-1604,ZOOKEEPER-2275,supercedes,Supercedes,outward
ZOOKEEPER-1604,ZOOKEEPER-1707,supercedes,Supercedes,outward
ZOOKEEPER-1604,ZOOKEEPER-1708,supercedes,Supercedes,outward
ZOOKEEPER-1604,ZOOKEEPER-1743,supercedes,Supercedes,outward
ZOOKEEPER-1604,ZOOKEEPER-2065,supercedes,Supercedes,outward
ZOOKEEPER-1604,ZOOKEEPER-2095,supercedes,Supercedes,outward
ZOOKEEPER-1604,ZOOKEEPER-2061,supercedes,Supercedes,outward
ZOOKEEPER-1594,ZOOKEEPER-2152,duplicates,Duplicate,outward
ZOOKEEPER-1594,ZOOKEEPER-2152,relates to,Reference,outward
ZOOKEEPER-1594,ZOOKEEPER-1712,relates to,Reference,outward
ZOOKEEPER-829,ZOOKEEPER-1587,is related to,Reference,inward
ZOOKEEPER-1579,SOLR-4526,relates to,Reference,outward
ZOOKEEPER-1576,ZOOKEEPER-1734,relates to,Reference,outward
ZOOKEEPER-1576,YARN-9151,relates to,Reference,outward
YARN-7550,ZOOKEEPER-1576,is related to,Reference,inward
ZOOKEEPER-1573,ZOOKEEPER-1813,duplicates,Duplicate,outward
ZOOKEEPER-1573,ZOOKEEPER-1879,relates to,Reference,outward
ZOOKEEPER-1572,ZOOKEEPER-1066,relates to,Reference,outward
