Task_ID,Topo_Level,Batch_Index,Summary,Task_Tag,Priority,Duration_Hours,Assigned_To,Start_Hour,End_Hour,Skill_Match
1420,1,2,Provide programmatic access to use job log ,Feature / Improvement Implementation,Major,2.2,A-8372,21.8,24.0,0
1421,1,2,Trunk build failing due to testcase failures from many builds,Testing & Verification,Major,2.2,A-8468,21.8,24.0,0
1423,1,2,LinuxTaskController does not work when JniBasedUnixGroupsNetgroupMapping or JniBasedUnixGroupsMapping is enabled,Bug fixing / Maintenance,Major,2.2,A-319,21.8,24.0,1
1424,1,2,Ivy build for MRv1 fails with bad organization for common daemon.,Bug fixing / Maintenance,Major,2.2,A-8461,21.8,24.0,1
1425,1,2,Corner case in container reservations,Bug fixing / Maintenance,Major,2.2,A-8384,21.8,24.0,1
1427,1,2,Local log dir links in the JT web UI are broken  ,Other,Major,2.2,A-8483,21.8,24.0,0
1428,1,2,TaskTracker won't start with failed local directory,Other,Major,2.2,A-1109,21.8,24.0,1
143,1,2,ArrayIndexOutOfBoundsException is thrown by KeyFieldBasedPartitioner,Bug fixing / Maintenance,Major,2.2,A-1287,21.8,24.0,1
1431,1,2,TaskTracker number of failed disks to tolerate should be configurable,Other,Major,2.2,A-1270,21.8,24.0,0
1432,1,2,job -status <JOB_ID> is giving continuously info message for completed jobs on the console,Bug fixing / Maintenance,Major,2.2,A-860,21.8,24.0,1
1433,1,2,500 Error in ResourceManager UI,Bug fixing / Maintenance,Major,2.2,A-1063,21.8,24.0,1
1434,1,2,CompletedJob.isUber throws a Yarn exception which makes the JobHistory UI unusable.,Bug fixing / Maintenance,Major,2.2,A-216,21.8,24.0,1
1435,1,2,MR-2413 improvements,Other,Major,2.2,A-5945,21.8,24.0,1
1436,1,2,Move task-controller from bin to libexec,Bug fixing / Maintenance,Major,2.2,A-1091,21.8,24.0,1
1437,1,2,Generate state graph from the State Machine Definition,Feature / Improvement Implementation,Major,2.2,A-8412,21.8,24.0,1
1440,1,2,MR portion of HADOOP-7607 - Simplify the RPC proxy cleanup process,Code Refactoring & Cleanup,Major,2.2,A-1237,21.8,24.0,1
1441,1,2,Contrib Raid compilation broken after HDFS-1620,Bug fixing / Maintenance,Major,2.2,A-2,21.8,24.0,1
1444,1,2,Ant setup on hadoop7 jenkins host,Build & Release Engineering,Major,2.2,A-1047,21.8,24.0,1
1449,1,2,TaskTrackers fail at startup,Bug fixing / Maintenance,Major,2.2,A-8406,21.8,24.0,1
145,1,2,"When running ant test TestTrackerBlacklistAcrossJobs, losing task tracker heartbeat exception occurs. ",Testing & Verification,Major,2.2,A-8399,21.8,24.0,1
1450,1,2,Sort fails on YARN+MR with lots of task failures,Bug fixing / Maintenance,Major,2.2,A-8403,21.8,24.0,1
1451,1,2,"Hadoop streaming test failure, post MR-2767",Testing & Verification,Major,2.2,A-793,21.8,24.0,1
1452,1,2,NodeManager in a inconsistent state if a service startup fails.,Bug fixing / Maintenance,Major,2.2,A-1062,21.8,24.0,1
1454,1,2,Problem while building hadoop trunk on Windows 7,Bug fixing / Maintenance,Major,2.2,A-1291,21.8,24.0,0
1456,1,2,"JobClient fails due to a race in RM, removes staged files and in turn crashes MR AM",Bug fixing / Maintenance,Major,2.2,A-2695,21.8,24.0,1
1458,1,2,CompositeService should try to stop all services even if one fails,Bug fixing / Maintenance,Major,2.2,A-8223,21.8,24.0,0
1459,1,2,The TT should not re-init if it has no good local dirs,Other,Major,2.2,A-1198,21.8,24.0,1
146,1,2,java.util.ConcurrentModificationException observed in unreserving slots for HiRam Jobs,Bug fixing / Maintenance,Major,2.2,A-8256,21.8,24.0,0
1464,1,2,Add ShutDown hooks for MRV2 processes,Feature / Improvement Implementation,Major,2.2,A-8353,21.8,24.0,0
1465,1,2,ContainerID record should get rid of ApplicationId field ,Bug fixing / Maintenance,Major,2.2,A-8475,21.8,24.0,1
1466,1,2,"Null Pointer Exception while submitting a Job, If mapreduce.framework.name property is not set.",Bug fixing / Maintenance,Major,2.2,A-6811,21.8,24.0,1
147,1,2,Provide summary information per job once a job is finished.,Feature / Improvement Implementation,Major,2.2,A-1273,21.8,24.0,1
1473,1,2,hudson findbugs not reporting properly,Bug fixing / Maintenance,Major,2.2,A-8424,21.8,24.0,1
1474,1,2,Remove ClientProtocolProvider configuration under mapreduce-client-core,Bug fixing / Maintenance,Major,2.2,A-8265,21.8,24.0,0
1475,1,2,Backport trunk fairscheduler to 0.20-security branch,Feature / Improvement Implementation,Major,2.2,A-1012,21.8,24.0,1
