from_issue_key,to_issue_key,link_type,raw_link_type,direction
MAPREDUCE-752,HADOOP-6140,incorporates,Incorporates,outward
MAPREDUCE-787,MAPREDUCE-752,is part of,Incorporates,inward
MAPREDUCE-752,MAPREDUCE-2361,relates to,Reference,outward
MAPREDUCE-752,MAPREDUCE-1581,relates to,Reference,outward
MAPREDUCE-751,MAPREDUCE-728,blocks,Blocker,outward
MAPREDUCE-751,MAPREDUCE-776,blocks,Blocker,outward
MAPREDUCE-751,CHUKWA-342,relates to,Reference,outward
MAPREDUCE-746,MAPREDUCE-754,relates to,Reference,outward
MAPREDUCE-856,MAPREDUCE-744,is blocked by,Blocker,inward
HADOOP-6163,MAPREDUCE-743,is blocked by,Blocker,inward
MAPREDUCE-739,MAPREDUCE-730,duplicates,Duplicate,outward
MAPREDUCE-739,HADOOP-6142,incorporates,Incorporates,outward
MAPREDUCE-739,MAPREDUCE-730,incorporates,Incorporates,outward
MAPREDUCE-737,HDFS-243,relates to,Reference,outward
MAPREDUCE-2288,MAPREDUCE-737,is related to,Reference,inward
MAPREDUCE-735,MAPREDUCE-2,blocks,Blocker,outward
MAPREDUCE-739,MAPREDUCE-730,is duplicated by,Duplicate,inward
MAPREDUCE-739,MAPREDUCE-730,is part of,Incorporates,inward
MAPREDUCE-728,MAPREDUCE-729,is related to,Reference,inward
MAPREDUCE-995,MAPREDUCE-728,is blocked by,Blocker,inward
MAPREDUCE-751,MAPREDUCE-728,is blocked by,Blocker,inward
MAPREDUCE-6531,MAPREDUCE-728,is cloned by,Cloners,inward
MAPREDUCE-728,MAPREDUCE-1001,relates to,Reference,outward
MAPREDUCE-728,MAPREDUCE-1006,relates to,Reference,outward
MAPREDUCE-728,MAPREDUCE-729,relates to,Reference,outward
HADOOP-9902,MAPREDUCE-727,is related to,Reference,inward
MAPREDUCE-967,MAPREDUCE-727,is related to,Reference,inward
MAPREDUCE-563,MAPREDUCE-720,is part of,Incorporates,inward
HADOOP-4487,MAPREDUCE-720,is part of,Incorporates,inward
MAPREDUCE-842,MAPREDUCE-720,is related to,Reference,inward
MAPREDUCE-901,MAPREDUCE-718,is blocked by,Blocker,inward
MAPREDUCE-718,MAPREDUCE-2216,relates to,Reference,outward
MAPREDUCE-487,MAPREDUCE-716,is cloned by,Cloners,inward
MAPREDUCE-792,MAPREDUCE-716,is related to,Reference,inward
MAPREDUCE-711,MAPREDUCE-856,blocks,Blocker,outward
MAPREDUCE-711,HADOOP-6125,blocks,Blocker,outward
MAPREDUCE-711,MAPREDUCE-476,blocks,Blocker,outward
MAPREDUCE-711,MAPREDUCE-476,relates to,Reference,outward
MAPREDUCE-704,HADOOP-5170,relates to,Reference,outward
MAPREDUCE-173,MAPREDUCE-700,is blocked by,Blocker,inward
MAPREDUCE-699,MAPREDUCE-891,duplicates,Duplicate,outward
MAPREDUCE-698,HADOOP-5170,relates to,Reference,outward
MAPREDUCE-694,MAPREDUCE-522,blocks,Blocker,outward
MAPREDUCE-637,MAPREDUCE-691,is related to,Reference,inward
HADOOP-5762,MAPREDUCE-689,is related to,Reference,inward
MAPREDUCE-642,MAPREDUCE-689,is related to,Reference,inward
HADOOP-5620,MAPREDUCE-689,is related to,Reference,inward
MAPREDUCE-237,MAPREDUCE-683,is depended upon by,dependent,inward
MAPREDUCE-679,HDFS-453,relates to,Reference,outward
MAPREDUCE-679,MAPREDUCE-2818,relates to,Reference,outward
MAPREDUCE-670,HADOOP-5628,blocks,Blocker,outward
MAPREDUCE-623,MAPREDUCE-670,is blocked by,Blocker,inward
MAPREDUCE-670,HDFS-458,relates to,Reference,outward
MAPREDUCE-785,MAPREDUCE-670,is related to,Reference,inward
HDFS-1022,MAPREDUCE-670,is depended upon by,dependent,inward
MAPREDUCE-669,HDFS-450,relates to,Reference,outward
MAPREDUCE-665,HDFS-423,blocks,Blocker,outward
HDFS-712,MAPREDUCE-665,is related to,Reference,inward
HDFS-464,MAPREDUCE-665,is depended upon by,dependent,inward
MAPREDUCE-564,MAPREDUCE-653,is blocked by,Blocker,inward
MAPREDUCE-648,MAPREDUCE-644,blocks,Blocker,outward
MAPREDUCE-648,HADOOP-5762,relates to,Reference,outward
MAPREDUCE-647,HADOOP-5472,depends upon,dependent,outward
MAPREDUCE-647,HADOOP-5762,depends upon,dependent,outward
MAPREDUCE-647,MAPREDUCE-642,depends upon,dependent,outward
MAPREDUCE-647,HADOOP-5620,depends upon,dependent,outward
MAPREDUCE-648,MAPREDUCE-644,is blocked by,Blocker,inward
MAPREDUCE-642,HDFS-220,blocks,Blocker,outward
