from_issue_key,to_issue_key,link_type,raw_link_type,direction
MAPREDUCE-220,MAPREDUCE-2777,relates to,Reference,outward
MAPREDUCE-2104,MAPREDUCE-220,is depended upon by,dependent,inward
MAPREDUCE-1739,MAPREDUCE-220,is depended upon by,dependent,inward
MAPREDUCE-2037,MAPREDUCE-220,is depended upon by,dependent,inward
MAPREDUCE-215,PIG-195,relates to,Reference,outward
MAPREDUCE-214,HADOOP-4565,depends upon,dependent,outward
HDFS-326,MAPREDUCE-213,is blocked by,Blocker,inward
HADOOP-6106,MAPREDUCE-211,is blocked by,Blocker,inward
HADOOP-1901,MAPREDUCE-209,is blocked by,Blocker,inward
MAPREDUCE-208,MAPREDUCE-1027,relates to,Reference,outward
MAPREDUCE-207,MAPREDUCE-1227,blocks,Blocker,outward
MAPREDUCE-207,MAPREDUCE-1484,blocks,Blocker,outward
MAPREDUCE-5887,MAPREDUCE-207,is duplicated by,Duplicate,inward
YARN-2332,MAPREDUCE-207,is required by,Required,inward
HIVE-19480,MAPREDUCE-207,is depended upon by,dependent,inward
MAPREDUCE-206,MAPREDUCE-278,relates to,Reference,outward
