issue_key,summary,group_key,group_domain,group_release,group_worktype,group_priority,group_has_pr,dev_has_activity,indegree,outdegree,component_id,is_root,is_leaf
MAPREDUCE-1051,mapred.local.dir gets a hardcoded Path in MiniMRCluster.,,,,,,,,0,0,5090,1,1
MAPREDUCE-1052,"In 0.20, JobHistory parsed files using callbacks [Listener].  In 0.21, JobHistoryParser creates a monolithic JobInfo object.",,,,,,,,0,0,5907,1,1
MAPREDUCE-1053,MRReliabilityTest does not kill/fail tasks if history is enabled,,,,,,,,0,0,2920,1,1
MAPREDUCE-1054,[Mumak] Enhance unit test coverage,,,,,,,,0,0,805,1,1
MAPREDUCE-1055,Improve SimulatorTaskTracker test cases to test tasks that require multiple slots,,,,,,,,0,0,6648,1,1
MAPREDUCE-1056,[Mumak] Add forrest documentation for mumak,,,,,,,,0,0,5918,1,1
MAPREDUCE-1057,java tasks are not honouring the value of mapred.userlog.limit.kb,,,,,,,,0,2,1712,1,0
MAPREDUCE-1058,analysehistory.jsp should report node where task ran,,,,,,,,0,0,3279,1,1
MAPREDUCE-1059,distcp can generate uneven map task assignments,,,,,,,,0,0,3667,1,1
MAPREDUCE-106,The temporary disk space limits should not skip jobs,,,,,,,,0,0,6256,1,1
MAPREDUCE-1060,JT should kill running maps when all the reducers have completed,,,,,,,,0,0,2847,1,1
MAPREDUCE-1061,Gridmix unit test should validate input/output bytes,,,,,,,,0,0,405,1,1
MAPREDUCE-1062,MRReliability test does not work with retired jobs,,,,,,,,0,0,5320,1,1
MAPREDUCE-1063,Document Gridmix benchmark,,,,,,,,0,0,6571,1,1
MAPREDUCE-1064,Add unit tests to test Job and Cluster ,,,,,,,,0,0,1179,1,1
MAPREDUCE-1065,Modify the mapred tutorial documentation to use new mapreduce api.,,,,,,,,0,0,2972,1,1
MAPREDUCE-1066,Add a unit test  to test all the apis in mapreduce.lib.join ,,,,,,,,0,0,3472,1,1
MAPREDUCE-1067,Default state of queues is undefined when unspecified,,,,,,,,0,0,841,1,1
MAPREDUCE-1068,In hadoop-0.20.0 streaming job do not throw proper verbose error message if file is not present,,,,,,,,0,0,947,1,1
MAPREDUCE-1069,Implement Sqoop API refactoring,,,,,,,,0,0,5204,1,1
MAPREDUCE-107,Tasks fail due to lost mapout,,,,,,,,0,0,1219,1,1
MAPREDUCE-1070,Deadlock in FairSchedulerServlet,,,,,,,,0,0,5601,1,1
MAPREDUCE-1071,o.a.h.mapreduce.jobhistory.EventReader constructor should expect DataInputStream,,,,,,,,0,0,1412,1,1
MAPREDUCE-1072,o.a.h.mapreduce.jobhistory.EventWriter.VERSION should be public.,,,,,,,,2,0,767,0,1
MAPREDUCE-1073,Progress reported for pipes tasks is incorrect.,,,,,,,,0,0,2328,1,1
MAPREDUCE-1074,Provide documentation for Mark/Reset functionality,,,,,,,,0,0,2569,1,1
MAPREDUCE-1075,getQueue(String queue) in JobTracker would return NPE for invalid queue name,,,,,,,,2,2,3507,0,0
MAPREDUCE-1076,ClusterStatus class should be deprecated ,,,,,,,,0,0,5089,1,1
