issue_key,jira_id,task_id
MAPREDUCE-744,12429923,151
MAPREDUCE-746,12430029,152
MAPREDUCE-750,12430119,153
MAPREDUCE-751,12430157,154
MAPREDUCE-754,12430199,155
MAPREDUCE-755,12430222,156
MAPREDUCE-757,12430317,157
MAPREDUCE-760,12430353,158
MAPREDUCE-764,12430471,159
MAPREDUCE-765,12430496,160
MAPREDUCE-766,12430621,161
MAPREDUCE-767,12430630,162
MAPREDUCE-768,12430644,163
MAPREDUCE-769,12430764,164
MAPREDUCE-771,12430874,165
MAPREDUCE-773,12430919,166
MAPREDUCE-775,12430970,167
MAPREDUCE-776,12430985,168
MAPREDUCE-777,12430991,169
MAPREDUCE-779,12431010,170
MAPREDUCE-781,12431046,171
MAPREDUCE-782,12431076,172
MAPREDUCE-783,12431094,173
MAPREDUCE-816,12431866,173
MAPREDUCE-784,12431105,174
MAPREDUCE-785,12431109,175
MAPREDUCE-787,12431125,176
MAPREDUCE-788,12431126,177
MAPREDUCE-790,12431173,178
MAPREDUCE-792,12431198,179
MAPREDUCE-793,12431236,180
MAPREDUCE-794,12431237,181
MAPREDUCE-795,12431239,182
MAPREDUCE-796,12431241,183
MAPREDUCE-797,12431295,184
MAPREDUCE-910,12433875,184
MAPREDUCE-798,12431296,185
MAPREDUCE-799,12431297,186
MAPREDUCE-800,12431298,187
MAPREDUCE-804,12431352,188
MAPREDUCE-805,12431363,189
MAPREDUCE-807,12431483,190
MAPREDUCE-808,12431504,191
MAPREDUCE-809,12431549,192
MAPREDUCE-810,12431562,193
MAPREDUCE-811,12431578,194
MAPREDUCE-812,12431586,195
MAPREDUCE-813,12431603,196
MAPREDUCE-814,12431680,197
MAPREDUCE-817,12431869,198
MAPREDUCE-818,12431879,199
MAPREDUCE-819,12431923,200
MAPREDUCE-820,12432046,201
MAPREDUCE-821,12432056,202
MAPREDUCE-824,12432160,203
MAPREDUCE-862,12432979,203
MAPREDUCE-825,12432202,204
MAPREDUCE-826,12432224,205
MAPREDUCE-827,12432250,206
MAPREDUCE-830,12432437,207
MAPREDUCE-832,12432507,208
MAPREDUCE-833,12432508,209
MAPREDUCE-834,12432509,210
MAPREDUCE-838,12432558,211
MAPREDUCE-839,12432563,212
MAPREDUCE-4781,12615337,212
MAPREDUCE-4792,12615939,212
MAPREDUCE-840,12432566,213
MAPREDUCE-843,12432681,214
MAPREDUCE-844,12432683,215
MAPREDUCE-882,12433230,215
MAPREDUCE-884,12433295,215
MAPREDUCE-3645,12537820,215
MAPREDUCE-845,12432723,216
MAPREDUCE-847,12432760,217
MAPREDUCE-848,12432798,218
MAPREDUCE-849,12432855,219
MAPREDUCE-2864,12519460,219
MAPREDUCE-852,12432903,220
MAPREDUCE-853,12432937,221
MAPREDUCE-854,12432942,222
MAPREDUCE-855,12432943,223
MAPREDUCE-859,12432954,224
MAPREDUCE-860,12432976,225
MAPREDUCE-861,12432978,225
MAPREDUCE-867,12433044,226
MAPREDUCE-868,12433045,227
MAPREDUCE-870,12433052,228
MAPREDUCE-871,12433053,229
MAPREDUCE-872,12433070,230
MAPREDUCE-873,12433075,231
MAPREDUCE-2171,12478862,231
MAPREDUCE-874,12433127,232
MAPREDUCE-875,12433130,233
MAPREDUCE-876,12433131,234
MAPREDUCE-877,12433138,235
MAPREDUCE-878,12433157,236
MAPREDUCE-880,12433214,237
MAPREDUCE-2121,12476995,237
