from_issue_key,to_issue_key,link_type,raw_link_type,direction,from_summary,to_summary,same_group,same_component,same_release
MAPREDUCE-3641,MAPREDUCE-3525,blocks,Blocker,outward,CapacityScheduler should be more conservative assigning off-switch requests,Shuffle benchmark is nearly 1.5x slower in 0.23,0,0,0
MAPREDUCE-3641,MAPREDUCE-3534,blocks,Blocker,outward,CapacityScheduler should be more conservative assigning off-switch requests,Compression benchmark run-time increased by 13% in 0.23,0,0,0
MAPREDUCE-3634,MAPREDUCE-3489,blocks,Blocker,outward,All daemons should crash instead of hanging around when their EventHandlers get exceptions,EventDispatcher should have a call-back on errors for aiding tests,0,0,0
MAPREDUCE-3641,MAPREDUCE-3534,is blocked by,Blocker,inward,CapacityScheduler should be more conservative assigning off-switch requests,Compression benchmark run-time increased by 13% in 0.23,0,0,0
MAPREDUCE-3641,MAPREDUCE-3525,is blocked by,Blocker,inward,CapacityScheduler should be more conservative assigning off-switch requests,Shuffle benchmark is nearly 1.5x slower in 0.23,0,0,0
MAPREDUCE-3809,MAPREDUCE-3524,is blocked by,Blocker,inward,Tasks may take upto 3 seconds to exit after completion,Scan benchmark is more than 1.5x slower in 0.23,0,0,0
MAPREDUCE-3810,MAPREDUCE-3524,is blocked by,Blocker,inward,MR AM's ContainerAllocator is assigning the allocated containers very slowly,Scan benchmark is more than 1.5x slower in 0.23,0,0,0
MAPREDUCE-3827,MAPREDUCE-3524,is blocked by,Blocker,inward,Counters aggregation slowed down significantly after MAPREDUCE-3749,Scan benchmark is more than 1.5x slower in 0.23,0,0,0
MAPREDUCE-3815,MAPREDUCE-3524,is blocked by,Blocker,inward,Data Locality suffers if the AM asks for containers using IPs instead of hostnames,Scan benchmark is more than 1.5x slower in 0.23,0,0,0
MAPREDUCE-3813,MAPREDUCE-3524,is blocked by,Blocker,inward,RackResolver should maintain a cache to avoid repetitive lookups.,Scan benchmark is more than 1.5x slower in 0.23,0,0,0
MAPREDUCE-3823,MAPREDUCE-3524,is blocked by,Blocker,inward,Counters are getting calculated twice at job-finish and delaying clients.,Scan benchmark is more than 1.5x slower in 0.23,0,0,0
MAPREDUCE-3808,MAPREDUCE-3524,is blocked by,Blocker,inward,NPE in FileOutputCommitter when running a 0 reduce job,Scan benchmark is more than 1.5x slower in 0.23,0,0,0
MAPREDUCE-3510,MAPREDUCE-3522,is blocked by,Blocker,inward,Capacity Scheduler inherited ACLs not displayed by mapred queue -showacls,Capacity Scheduler ACLs not inherited by default,0,0,0
MAPREDUCE-3510,MAPREDUCE-3522,blocks,Blocker,outward,Capacity Scheduler inherited ACLs not displayed by mapred queue -showacls,Capacity Scheduler ACLs not inherited by default,0,0,0
MAPREDUCE-3634,MAPREDUCE-3489,is blocked by,Blocker,inward,All daemons should crash instead of hanging around when their EventHandlers get exceptions,EventDispatcher should have a call-back on errors for aiding tests,0,0,0
MAPREDUCE-3481,MAPREDUCE-3719,blocks,Blocker,outward,[Gridmix] Improve STRESS mode locking,Make gridmix performance on YARN+MR to match or exceed that on 1.0,0,0,0
MAPREDUCE-3463,MAPREDUCE-3450,blocks,Blocker,outward,Second AM fails to recover properly when first AM is killed with java.lang.IllegalArgumentException causing lost job,NM port info no longer available in JobHistory,0,0,0
MAPREDUCE-3463,MAPREDUCE-3450,is blocked by,Blocker,inward,Second AM fails to recover properly when first AM is killed with java.lang.IllegalArgumentException causing lost job,NM port info no longer available in JobHistory,0,0,0
MAPREDUCE-3409,MAPREDUCE-3427,is blocked by,Blocker,inward,Incorrect custom task status when running on MR2,streaming tests fail with MR2,0,0,0
MAPREDUCE-3409,MAPREDUCE-3427,blocks,Blocker,outward,Incorrect custom task status when running on MR2,streaming tests fail with MR2,0,0,0
MAPREDUCE-3396,MAPREDUCE-3311,blocks,Blocker,outward,Mumak compilation is broken (for a while?),Bump jetty to 6.1.26,0,0,0
MAPREDUCE-3377,MAPREDUCE-1600,blocks,Blocker,outward,Compatibility issue with 0.20.203.,o.a.h.mapreduce.FileOutputCommitter should qualify the output path,0,0,0
MAPREDUCE-3169,MAPREDUCE-3369,is blocked by,Blocker,inward,Create a new MiniMRCluster equivalent which only provides client APIs cross MR1 and MR2,Migrate MR1 tests to run on MR2 using the new interfaces introduced in MAPREDUCE-3169,0,0,0
MAPREDUCE-3333,MAPREDUCE-3355,is blocked by,Blocker,inward,MR AM for sort-job going out of memory,AM scheduling hangs frequently with sort job on 350 nodes,0,0,0
MAPREDUCE-3353,MAPREDUCE-3921,blocks,Blocker,outward,Need a RM->AM channel to inform AMs about faulty/unhealthy/lost nodes,MR AM should act on the nodes liveliness information when nodes go up/down/unhealthy,0,0,0
MAPREDUCE-3342,MAPREDUCE-3309,blocks,Blocker,outward,JobHistoryServer doesn't show job queue,Report the AM of an application in the UI,0,0,0
MAPREDUCE-3342,MAPREDUCE-2863,blocks,Blocker,outward,JobHistoryServer doesn't show job queue,Support web-services for RM & NM,0,0,0
MAPREDUCE-3336,MAPREDUCE-2863,blocks,Blocker,outward,com.google.inject.internal.Preconditions not public api - shouldn't be using it,Support web-services for RM & NM,0,0,0
MAPREDUCE-3333,MAPREDUCE-3355,blocks,Blocker,outward,MR AM for sort-job going out of memory,AM scheduling hangs frequently with sort job on 350 nodes,0,0,0
MAPREDUCE-3396,MAPREDUCE-3311,is blocked by,Blocker,inward,Mumak compilation is broken (for a while?),Bump jetty to 6.1.26,0,0,0
MAPREDUCE-3342,MAPREDUCE-3309,is blocked by,Blocker,inward,JobHistoryServer doesn't show job queue,Report the AM of an application in the UI,0,0,0
MAPREDUCE-2775,MAPREDUCE-3270,is blocked by,Blocker,inward,[MR-279] Decommissioned node does not shutdown,Decommissioned node not removed from active NM list,0,0,0
MAPREDUCE-3233,MAPREDUCE-2708,blocks,Blocker,outward,AM fails to restart when first AM is killed,[MR-279] Design and implement MR Application Master recovery,0,0,0
MAPREDUCE-3223,MAPREDUCE-2328,blocks,Blocker,outward,Remove MR1 configs from mapred-default.xml,memory-related configurations missing from mapred-default.xml,0,0,0
MAPREDUCE-3003,MAPREDUCE-3199,is blocked by,Blocker,inward,Publish MR JARs to Maven snapshot repository,TestJobMonitorAndPrint is broken on trunk,0,0,0
MAPREDUCE-3104,MAPREDUCE-3175,is blocked by,Blocker,inward,"Implement Application ACLs, Queue ACLs and their interaction",Yarn httpservers not created with access Control lists,0,0,0
MAPREDUCE-3169,MAPREDUCE-3369,blocks,Blocker,outward,Create a new MiniMRCluster equivalent which only provides client APIs cross MR1 and MR2,Migrate MR1 tests to run on MR2 using the new interfaces introduced in MAPREDUCE-3169,0,0,0
MAPREDUCE-3161,MAPREDUCE-3162,is blocked by,Blocker,inward,Improve javadoc and fix some typos in MR2 code,Separate application-init and container-init event types in NM's ApplicationImpl FSM,0,0,0
MAPREDUCE-3161,MAPREDUCE-3162,blocks,Blocker,outward,Improve javadoc and fix some typos in MR2 code,Separate application-init and container-init event types in NM's ApplicationImpl FSM,0,0,0
MAPREDUCE-3159,MAPREDUCE-2986,blocks,Blocker,outward,DefaultContainerExecutor removes appcache dir on every localization,Multiple node managers support for the MiniYARNCluster,0,0,0
MAPREDUCE-3146,MAPREDUCE-2696,blocks,Blocker,outward,Add a MR specific command line to dump logs for a given TaskAttemptID,Container logs aren't getting cleaned up when LogAggregation is disabled,0,0,0
MAPREDUCE-3144,MAPREDUCE-2989,blocks,Blocker,outward,Augment JobHistory to include information needed for serving aggregated logs.,JobHistory should link to task logs,0,0,0
MAPREDUCE-3112,MAPREDUCE-3080,blocks,Blocker,outward,Calling hadoop cli inside mapreduce job leads to errors,dfs calls from streaming fails with ExceptionInInitializerError,0,0,0
MAPREDUCE-3104,MAPREDUCE-3175,blocks,Blocker,outward,"Implement Application ACLs, Queue ACLs and their interaction",Yarn httpservers not created with access Control lists,0,0,0
