from_task_id,to_task_id,edge_count,link_types,example_from_issue,example_to_issue
2564,2728,2,blocks;is blocked by,MAPREDUCE-4678,MAPREDUCE-4930
2612,1669,2,blocks;is blocked by,MAPREDUCE-4748,MAPREDUCE-4751
2723,2728,2,blocks;is blocked by,MAPREDUCE-4925,MAPREDUCE-4930
2729,2735,2,blocks;is blocked by,MAPREDUCE-4932,MAPREDUCE-4942
2825,2593,2,blocks;is blocked by,MAPREDUCE-5077,MAPREDUCE-5098
284,168,2,blocks;is blocked by,MAPREDUCE-966,MAPREDUCE-776
2870,2869,2,blocks;is blocked by,MAPREDUCE-5157,MAPREDUCE-5156
2870,2872,2,blocks;is blocked by,MAPREDUCE-5159,MAPREDUCE-5160
29,32,4,blocks;is blocked by,MAPREDUCE-367,MAPREDUCE-364
301,140,2,blocks;is blocked by,MAPREDUCE-995,MAPREDUCE-728
3054,3096,2,blocks;is blocked by,MAPREDUCE-5427,MAPREDUCE-5593
307,353,2,blocks;is blocked by,MAPREDUCE-1007,MAPREDUCE-1082
314,346,2,blocks;is blocked by,MAPREDUCE-1016,MAPREDUCE-1072
32,29,2,blocks;is blocked by,MAPREDUCE-368,MAPREDUCE-358
3428,3526,2,blocks;is blocked by,MAPREDUCE-6189,MAPREDUCE-6327
3511,1071,2,blocks;is blocked by,MAPREDUCE-6192,MAPREDUCE-6358
3641,3633,2,blocks;is blocked by,MAPREDUCE-6388,MAPREDUCE-6376
367,370,2,blocks;is blocked by,MAPREDUCE-1104,MAPREDUCE-1111
422,469,2,blocks;is blocked by,MAPREDUCE-1213,MAPREDUCE-1302
422,470,2,blocks;is blocked by,MAPREDUCE-1213,MAPREDUCE-1303
439,1372,2,blocks;is blocked by,MAPREDUCE-2868,MAPREDUCE-2838
459,246,2,blocks;is blocked by,MAPREDUCE-1284,MAPREDUCE-896
459,409,2,blocks;is blocked by,MAPREDUCE-1284,MAPREDUCE-1186
474,568,2,blocks;is blocked by,MAPREDUCE-1307,MAPREDUCE-1455
52,292,2,blocks;is blocked by,MAPREDUCE-157,MAPREDUCE-975
52,295,2,blocks;is blocked by,MAPREDUCE-157,MAPREDUCE-980
52,53,2,blocks;is blocked by,MAPREDUCE-157,MAPREDUCE-198
537,2967,2,blocks;is blocked by,MAPREDUCE-5294,MAPREDUCE-5295
568,592,2,blocks;is blocked by,MAPREDUCE-1455,MAPREDUCE-1493
630,647,2,blocks;is blocked by,MAPREDUCE-1538,MAPREDUCE-1568
641,439,2,blocks;is blocked by,MAPREDUCE-2848,MAPREDUCE-2868
699,739,2,blocks;is blocked by,MAPREDUCE-1664,MAPREDUCE-1759
71,273,2,blocks;is blocked by,MAPREDUCE-947,MAPREDUCE-948
714,723,2,blocks;is blocked by,MAPREDUCE-1695,MAPREDUCE-1715
744,689,2,blocks;is blocked by,MAPREDUCE-1774,MAPREDUCE-1646
746,709,2,blocks;is blocked by,MAPREDUCE-1779,MAPREDUCE-1683
801,795,2,blocks;is blocked by,MAPREDUCE-1876,MAPREDUCE-1865
83,81,2,blocks;is blocked by,MAPREDUCE-648,MAPREDUCE-644
