assignee_code,Skill_Tag,issue_count,skill_level
A-1868,Performance Optimization,2,1
A-1868,Build & Release Engineering,1,1
A-1869,Design & API Evolution,2,1
A-1869,Bug fixing / Maintenance,1,1
A-1869,Feature / Improvement Implementation,1,1
A-187,Bug fixing / Maintenance,1,1
A-1870,Bug fixing / Maintenance,34,5
A-1870,Feature / Improvement Implementation,23,5
A-1870,Design & API Evolution,12,4
A-1870,Documentation,2,1
A-1870,Testing & Verification,2,1
A-1870,Build & Release Engineering,1,1
A-1870,Project / General Task,1,1
A-1871,Bug fixing / Maintenance,53,5
A-1871,Feature / Improvement Implementation,9,3
A-1871,Testing & Verification,5,2
A-1871,Build & Release Engineering,1,1
A-1871,Code Refactoring & Cleanup,1,1
A-1872,Bug fixing / Maintenance,18,4
A-1872,Feature / Improvement Implementation,11,4
A-1872,Other,1,1
A-1873,Bug fixing / Maintenance,145,5
A-1873,Feature / Improvement Implementation,17,4
A-1873,Design & API Evolution,9,3
A-1873,Testing & Verification,4,2
A-1873,Build & Release Engineering,3,2
A-1873,Code Refactoring & Cleanup,1,1
A-1874,Bug fixing / Maintenance,22,5
A-1874,Feature / Improvement Implementation,12,4
A-1874,Design & API Evolution,5,2
A-1874,Build & Release Engineering,3,2
A-1874,Testing & Verification,2,1
A-1875,Bug fixing / Maintenance,494,5
A-1875,Feature / Improvement Implementation,331,5
A-1875,Design & API Evolution,57,5
A-1875,Testing & Verification,23,5
A-1875,Build & Release Engineering,22,5
A-1875,Code Refactoring & Cleanup,18,4
A-1875,Project / General Task,9,3
A-1875,Documentation,7,3
A-1875,Other,5,2
A-1875,Performance Optimization,4,2
A-1876,Bug fixing / Maintenance,185,5
A-1876,Feature / Improvement Implementation,93,5
A-1876,Design & API Evolution,21,5
A-1876,Testing & Verification,12,4
A-1876,Build & Release Engineering,6,3
A-1876,Code Refactoring & Cleanup,3,2
A-1876,Project / General Task,1,1
A-1877,Feature / Improvement Implementation,3,2
A-1877,Bug fixing / Maintenance,1,1
A-1878,Feature / Improvement Implementation,12,4
A-1878,Bug fixing / Maintenance,11,4
A-1878,Project / General Task,2,1
A-1879,Bug fixing / Maintenance,3,2
A-1879,Feature / Improvement Implementation,1,1
A-188,Feature / Improvement Implementation,1,1
A-1880,Documentation,24,5
A-1880,Feature / Improvement Implementation,23,5
A-1880,Bug fixing / Maintenance,14,4
A-1880,Design & API Evolution,5,2
A-1881,Feature / Improvement Implementation,1,1
A-1881,Testing & Verification,1,1
A-1882,Bug fixing / Maintenance,29,5
A-1882,Feature / Improvement Implementation,11,4
A-1882,Code Refactoring & Cleanup,3,2
A-1882,Design & API Evolution,3,2
A-1882,Build & Release Engineering,1,1
A-1882,Testing & Verification,1,1
A-1883,Bug fixing / Maintenance,216,5
A-1883,Feature / Improvement Implementation,77,5
A-1883,Design & API Evolution,21,5
A-1883,Build & Release Engineering,7,3
A-1883,Code Refactoring & Cleanup,4,2
A-1883,Documentation,4,2
A-1883,Testing & Verification,2,1
A-1883,Other,1,1
A-1883,Performance Optimization,1,1
A-1883,Project / General Task,1,1
A-1884,Bug fixing / Maintenance,7,3
A-1884,Feature / Improvement Implementation,5,2
A-1884,Design & API Evolution,2,1
A-1885,Bug fixing / Maintenance,8,3
A-1886,Bug fixing / Maintenance,77,5
A-1886,Feature / Improvement Implementation,76,5
A-1886,Project / General Task,4,2
A-1886,Testing & Verification,3,2
A-1886,Build & Release Engineering,2,1
A-1886,Design & API Evolution,2,1
A-1886,Documentation,1,1
A-1886,Performance Optimization,1,1
A-1887,Bug fixing / Maintenance,3,2
A-1887,Design & API Evolution,1,1
A-1888,Bug fixing / Maintenance,11,4
A-1888,Testing & Verification,4,2
A-1888,Design & API Evolution,1,1
A-1888,Documentation,1,1
A-1888,Feature / Improvement Implementation,1,1
A-1889,Feature / Improvement Implementation,5,2
A-1889,Bug fixing / Maintenance,1,1
A-189,Design & API Evolution,1,1
A-1890,Bug fixing / Maintenance,110,5
A-1890,Feature / Improvement Implementation,28,5
A-1890,Design & API Evolution,17,4
A-1890,Testing & Verification,3,2
A-1890,Build & Release Engineering,2,1
A-1890,Code Refactoring & Cleanup,1,1
A-1890,Project / General Task,1,1
A-1891,Feature / Improvement Implementation,7,3
A-1891,Bug fixing / Maintenance,6,3
A-1891,Design & API Evolution,4,2
A-1891,Build & Release Engineering,2,1
A-1892,Bug fixing / Maintenance,9,3
A-1892,Feature / Improvement Implementation,8,3
A-1892,Testing & Verification,5,2
A-1892,Design & API Evolution,1,1
A-1892,Documentation,1,1
A-1893,Feature / Improvement Implementation,3,2
A-1894,Bug fixing / Maintenance,2,1
A-1894,Feature / Improvement Implementation,2,1
A-1895,Bug fixing / Maintenance,1,1
A-1896,Bug fixing / Maintenance,2,1
A-1896,Feature / Improvement Implementation,2,1
A-1897,Design & API Evolution,2,1
A-1898,Bug fixing / Maintenance,9,3
A-1898,Feature / Improvement Implementation,2,1
A-1898,Build & Release Engineering,1,1
A-1898,Code Refactoring & Cleanup,1,1
A-1899,Bug fixing / Maintenance,3,2
A-1899,Design & API Evolution,1,1
A-1899,Feature / Improvement Implementation,1,1
A-19,Bug fixing / Maintenance,6,3
A-19,Build & Release Engineering,4,2
A-19,Project / General Task,3,2
A-19,Feature / Improvement Implementation,2,1
A-19,Testing & Verification,2,1
A-19,Design & API Evolution,1,1
A-190,Design & API Evolution,1,1
A-1900,Bug fixing / Maintenance,1,1
A-1901,Bug fixing / Maintenance,6,3
A-1901,Feature / Improvement Implementation,5,2
A-1901,Design & API Evolution,2,1
A-1902,Build & Release Engineering,1,1
A-1902,Design & API Evolution,1,1
A-1903,Feature / Improvement Implementation,2,1
A-1904,Bug fixing / Maintenance,16,4
A-1904,Feature / Improvement Implementation,4,2
A-1904,Design & API Evolution,2,1
A-1905,Feature / Improvement Implementation,1,1
A-1906,Bug fixing / Maintenance,58,5
A-1906,Feature / Improvement Implementation,31,5
A-1906,Design & API Evolution,10,3
A-1906,Testing & Verification,2,1
A-1906,Build & Release Engineering,1,1
A-1907,Bug fixing / Maintenance,56,5
A-1907,Feature / Improvement Implementation,24,5
A-1907,Other,4,2
A-1907,Design & API Evolution,2,1
A-1907,Documentation,2,1
A-1907,Project / General Task,2,1
A-1907,Build & Release Engineering,1,1
A-1907,Code Refactoring & Cleanup,1,1
A-1907,Testing & Verification,1,1
A-1908,Bug fixing / Maintenance,2,1
A-1909,Feature / Improvement Implementation,6,3
A-1909,Bug fixing / Maintenance,5,2
A-1909,Design & API Evolution,2,1
A-191,Bug fixing / Maintenance,2,1
A-191,Feature / Improvement Implementation,1,1
A-1910,Bug fixing / Maintenance,7,3
A-1910,Feature / Improvement Implementation,4,2
A-1911,Bug fixing / Maintenance,38,5
A-1911,Feature / Improvement Implementation,25,5
A-1911,Build & Release Engineering,3,2
A-1911,Design & API Evolution,2,1
A-1911,Documentation,2,1
A-1911,Testing & Verification,2,1
A-1911,Performance Optimization,1,1
A-1911,Project / General Task,1,1
A-1912,Bug fixing / Maintenance,6,3
A-1912,Feature / Improvement Implementation,2,1
A-1913,Bug fixing / Maintenance,1,1
A-1913,Testing & Verification,1,1
A-1914,Bug fixing / Maintenance,30,5
A-1914,Feature / Improvement Implementation,6,3
A-1914,Design & API Evolution,1,1
A-1914,Testing & Verification,1,1
A-1915,Bug fixing / Maintenance,8,3
A-1915,Feature / Improvement Implementation,1,1
A-1916,Feature / Improvement Implementation,2,1
A-1917,Bug fixing / Maintenance,27,5
A-1917,Feature / Improvement Implementation,5,2
A-1917,Other,3,2
A-1917,Design & API Evolution,2,1
A-1917,Testing & Verification,2,1
A-1918,Bug fixing / Maintenance,1,1
A-1919,Bug fixing / Maintenance,2,1
A-192,Bug fixing / Maintenance,1,1
A-1920,Feature / Improvement Implementation,19,4
A-1920,Bug fixing / Maintenance,4,2
A-1920,Documentation,4,2
A-1920,Project / General Task,3,2
A-1921,Bug fixing / Maintenance,13,4
A-1921,Design & API Evolution,1,1
A-1921,Feature / Improvement Implementation,1,1
A-1922,Feature / Improvement Implementation,1,1
A-1923,Feature / Improvement Implementation,1,1
A-1924,Bug fixing / Maintenance,6,3
A-1924,Design & API Evolution,1,1
A-1924,Feature / Improvement Implementation,1,1
A-1925,Build & Release Engineering,1,1
A-1925,Feature / Improvement Implementation,1,1
A-1926,Bug fixing / Maintenance,2,1
A-1927,Bug fixing / Maintenance,79,5
A-1927,Feature / Improvement Implementation,33,5
A-1927,Build & Release Engineering,4,2
A-1927,Design & API Evolution,3,2
A-1927,Documentation,3,2
A-1927,Project / General Task,3,2
A-1927,Code Refactoring & Cleanup,1,1
A-1928,Bug fixing / Maintenance,21,5
A-1928,Feature / Improvement Implementation,17,4
A-1928,Design & API Evolution,6,3
A-1928,Code Refactoring & Cleanup,1,1
A-1929,Bug fixing / Maintenance,1,1
A-193,Feature / Improvement Implementation,2,1
A-1930,Bug fixing / Maintenance,1,1
A-1930,Feature / Improvement Implementation,1,1
A-1931,Project / General Task,1,1
A-1932,Feature / Improvement Implementation,1,1
A-1933,Bug fixing / Maintenance,8,3
A-1933,Feature / Improvement Implementation,2,1
A-1933,Other,1,1
A-1934,Bug fixing / Maintenance,1,1
A-1935,Bug fixing / Maintenance,7,3
A-1936,Bug fixing / Maintenance,16,4
A-1936,Feature / Improvement Implementation,15,4
A-1936,Performance Optimization,5,2
A-1936,Design & API Evolution,2,1
A-1936,Other,2,1
A-1936,Build & Release Engineering,1,1
A-1937,Bug fixing / Maintenance,667,5
A-1937,Project / General Task,568,5
A-1937,Other,381,5
A-1937,Feature / Improvement Implementation,205,5
A-1937,Build & Release Engineering,140,5
A-1937,Testing & Verification,32,5
A-1937,Documentation,12,4
A-1937,Design & API Evolution,6,3
A-1938,Bug fixing / Maintenance,1,1
A-1939,Testing & Verification,1,1
A-194,Performance Optimization,1,1
A-1940,Bug fixing / Maintenance,1,1
A-1941,Bug fixing / Maintenance,7,3
A-1941,Feature / Improvement Implementation,2,1
A-1942,Bug fixing / Maintenance,3,2
A-1942,Design & API Evolution,1,1
A-1942,Performance Optimization,1,1
A-1942,Testing & Verification,1,1
A-1943,Bug fixing / Maintenance,7,3
A-1944,Bug fixing / Maintenance,1,1
A-1945,Bug fixing / Maintenance,9,3
A-1945,Testing & Verification,1,1
A-1946,Design & API Evolution,1,1
A-1947,Bug fixing / Maintenance,5,2
A-1947,Feature / Improvement Implementation,1,1
A-1948,Bug fixing / Maintenance,32,5
A-1948,Feature / Improvement Implementation,5,2
A-1948,Testing & Verification,3,2
A-1948,Design & API Evolution,1,1
A-1948,Project / General Task,1,1
A-1949,Design & API Evolution,1,1
A-195,Feature / Improvement Implementation,1,1
A-1950,Feature / Improvement Implementation,11,4
A-1950,Bug fixing / Maintenance,3,2
A-1950,Design & API Evolution,2,1
A-1950,Build & Release Engineering,1,1
A-1950,Code Refactoring & Cleanup,1,1
A-1951,Feature / Improvement Implementation,1,1
A-1952,Bug fixing / Maintenance,7,3
A-1952,Documentation,5,2
A-1952,Feature / Improvement Implementation,4,2
A-1952,Code Refactoring & Cleanup,1,1
A-1952,Design & API Evolution,1,1
A-1953,Bug fixing / Maintenance,9,3
A-1953,Design & API Evolution,1,1
A-1954,Design & API Evolution,2,1
A-1955,Bug fixing / Maintenance,4,2
A-1955,Documentation,1,1
A-1955,Feature / Improvement Implementation,1,1
A-1956,Bug fixing / Maintenance,1,1
A-1957,Bug fixing / Maintenance,1,1
A-1957,Feature / Improvement Implementation,1,1
A-1958,Project / General Task,1,1
A-1959,Project / General Task,4,2
A-1959,Feature / Improvement Implementation,2,1
A-1959,Bug fixing / Maintenance,1,1
A-196,Feature / Improvement Implementation,1,1
A-1960,Feature / Improvement Implementation,233,5
A-1960,Bug fixing / Maintenance,194,5
A-1960,Project / General Task,34,5
A-1960,Build & Release Engineering,12,4
A-1960,Other,7,3
A-1960,Design & API Evolution,6,3
A-1960,Performance Optimization,4,2
A-1960,Documentation,3,2
A-1960,Code Refactoring & Cleanup,1,1
A-1960,Testing & Verification,1,1
A-1961,Bug fixing / Maintenance,1078,5
A-1961,Feature / Improvement Implementation,337,5
A-1961,Project / General Task,216,5
A-1961,Build & Release Engineering,54,5
A-1961,Other,47,5
A-1961,Testing & Verification,41,5
A-1961,Design & API Evolution,21,5
A-1961,Documentation,17,4
A-1961,Performance Optimization,9,3
A-1961,Code Refactoring & Cleanup,3,2
A-1962,Bug fixing / Maintenance,27,5
A-1962,Feature / Improvement Implementation,9,3
A-1962,Testing & Verification,4,2
A-1962,Performance Optimization,3,2
A-1962,Build & Release Engineering,2,1
A-1962,Design & API Evolution,2,1
A-1963,Bug fixing / Maintenance,75,5
A-1963,Feature / Improvement Implementation,18,4
A-1963,Design & API Evolution,5,2
A-1963,Documentation,2,1
A-1963,Performance Optimization,1,1
A-1963,Project / General Task,1,1
A-1964,Bug fixing / Maintenance,17,4
A-1964,Feature / Improvement Implementation,10,3
A-1964,Build & Release Engineering,1,1
A-1964,Design & API Evolution,1,1
A-1964,Documentation,1,1
A-1964,Project / General Task,1,1
A-1964,Testing & Verification,1,1
A-1965,Bug fixing / Maintenance,72,5
A-1965,Feature / Improvement Implementation,37,5
A-1965,Build & Release Engineering,6,3
A-1965,Design & API Evolution,5,2
A-1965,Documentation,4,2
A-1965,Performance Optimization,1,1
A-1965,Project / General Task,1,1
A-1965,Testing & Verification,1,1
A-1966,Bug fixing / Maintenance,120,5
A-1966,Feature / Improvement Implementation,30,5
A-1966,Testing & Verification,7,3
A-1966,Build & Release Engineering,4,2
A-1966,Design & API Evolution,4,2
A-1966,Documentation,4,2
A-1966,Project / General Task,3,2
A-1966,Code Refactoring & Cleanup,1,1
A-1967,Bug fixing / Maintenance,92,5
A-1967,Feature / Improvement Implementation,66,5
A-1967,Design & API Evolution,14,4
A-1967,Documentation,6,3
A-1967,Code Refactoring & Cleanup,4,2
A-1967,Performance Optimization,4,2
A-1967,Build & Release Engineering,3,2
A-1967,Project / General Task,1,1
A-1968,Bug fixing / Maintenance,28,5
A-1968,Feature / Improvement Implementation,9,3
A-1968,Design & API Evolution,2,1
A-1968,Documentation,2,1
A-1968,Build & Release Engineering,1,1
A-1969,Bug fixing / Maintenance,20,4
A-1969,Feature / Improvement Implementation,10,3
A-1969,Project / General Task,5,2
A-1969,Documentation,1,1
A-197,Bug fixing / Maintenance,1,1
A-197,Feature / Improvement Implementation,1,1
A-1970,Bug fixing / Maintenance,34,5
A-1970,Feature / Improvement Implementation,4,2
A-1970,Design & API Evolution,2,1
A-1970,Build & Release Engineering,1,1
A-1971,Bug fixing / Maintenance,323,5
A-1971,Feature / Improvement Implementation,145,5
A-1971,Build & Release Engineering,21,5
A-1971,Design & API Evolution,21,5
A-1971,Other,14,4
A-1971,Project / General Task,13,4
A-1971,Testing & Verification,13,4
A-1971,Documentation,10,3
A-1971,Code Refactoring & Cleanup,1,1
A-1971,Performance Optimization,1,1
A-1972,Bug fixing / Maintenance,101,5
A-1972,Project / General Task,37,5
A-1972,Feature / Improvement Implementation,30,5
A-1972,Testing & Verification,13,4
A-1972,Build & Release Engineering,3,2
A-1972,Design & API Evolution,3,2
A-1972,Documentation,1,1
A-1973,Feature / Improvement Implementation,16,4
A-1973,Bug fixing / Maintenance,13,4
A-1973,Build & Release Engineering,2,1
A-1973,Code Refactoring & Cleanup,1,1
A-1974,Bug fixing / Maintenance,2,1
A-1974,Build & Release Engineering,1,1
A-1974,Feature / Improvement Implementation,1,1
A-1975,Bug fixing / Maintenance,53,5
A-1975,Feature / Improvement Implementation,18,4
A-1975,Project / General Task,6,3
A-1975,Other,5,2
A-1975,Testing & Verification,3,2
A-1975,Build & Release Engineering,2,1
A-1975,Code Refactoring & Cleanup,1,1
A-1975,Design & API Evolution,1,1
A-1976,Bug fixing / Maintenance,49,5
A-1976,Feature / Improvement Implementation,24,5
A-1976,Build & Release Engineering,2,1
A-1976,Testing & Verification,2,1
A-1976,Design & API Evolution,1,1
A-1976,Other,1,1
A-1976,Project / General Task,1,1
A-1977,Project / General Task,112,5
A-1977,Feature / Improvement Implementation,14,4
A-1977,Bug fixing / Maintenance,8,3
A-1977,Build & Release Engineering,3,2
A-1977,Documentation,2,1
A-1977,Testing & Verification,1,1
A-1978,Bug fixing / Maintenance,15,4
A-1978,Feature / Improvement Implementation,7,3
A-1978,Build & Release Engineering,1,1
A-1978,Design & API Evolution,1,1
A-1979,Bug fixing / Maintenance,144,5
A-1979,Feature / Improvement Implementation,59,5
A-1979,Documentation,9,3
A-1979,Testing & Verification,8,3
A-1979,Design & API Evolution,6,3
A-1979,Other,4,2
A-1979,Performance Optimization,3,2
A-1979,Build & Release Engineering,1,1
A-1979,Project / General Task,1,1
A-198,Bug fixing / Maintenance,26,5
A-198,Build & Release Engineering,15,4
A-198,Feature / Improvement Implementation,14,4
A-198,Documentation,8,3
A-198,Testing & Verification,5,2
A-198,Project / General Task,2,1
A-1980,Bug fixing / Maintenance,305,5
A-1980,Feature / Improvement Implementation,86,5
A-1980,Design & API Evolution,6,3
A-1980,Build & Release Engineering,5,2
A-1980,Code Refactoring & Cleanup,4,2
A-1980,Performance Optimization,4,2
A-1980,Documentation,3,2
A-1980,Testing & Verification,3,2
A-1980,Other,1,1
A-1980,Project / General Task,1,1
A-1981,Bug fixing / Maintenance,91,5
A-1981,Feature / Improvement Implementation,18,4
A-1981,Other,17,4
A-1981,Build & Release Engineering,14,4
A-1981,Documentation,4,2
A-1981,Design & API Evolution,3,2
A-1981,Project / General Task,1,1
A-1981,Testing & Verification,1,1
A-1982,Bug fixing / Maintenance,14,4
A-1982,Feature / Improvement Implementation,4,2
A-1982,Project / General Task,4,2
A-1982,Testing & Verification,1,1
A-1983,Bug fixing / Maintenance,6,3
A-1983,Feature / Improvement Implementation,3,2
A-1983,Documentation,1,1
A-1984,Feature / Improvement Implementation,3,2
A-1984,Bug fixing / Maintenance,2,1
A-1984,Build & Release Engineering,2,1
A-1984,Documentation,1,1
A-1984,Testing & Verification,1,1
A-1985,Bug fixing / Maintenance,97,5
A-1985,Feature / Improvement Implementation,49,5
A-1985,Other,21,5
A-1985,Build & Release Engineering,9,3
A-1985,Design & API Evolution,7,3
A-1985,Testing & Verification,5,2
A-1985,Project / General Task,3,2
A-1985,Documentation,2,1
A-1985,Performance Optimization,1,1
A-1986,Bug fixing / Maintenance,3,2
A-1986,Feature / Improvement Implementation,3,2
A-1986,Testing & Verification,1,1
A-1987,Other,19,4
A-1987,Bug fixing / Maintenance,9,3
A-1987,Feature / Improvement Implementation,3,2
A-1987,Project / General Task,1,1
A-1987,Testing & Verification,1,1
A-1988,Feature / Improvement Implementation,5,2
A-1988,Bug fixing / Maintenance,4,2
A-1988,Design & API Evolution,1,1
A-1989,Feature / Improvement Implementation,1,1
A-199,Bug fixing / Maintenance,1,1
A-1990,Feature / Improvement Implementation,6,3
A-1990,Project / General Task,1,1
A-1991,Other,18,4
A-1991,Bug fixing / Maintenance,8,3
A-1991,Feature / Improvement Implementation,4,2
A-1991,Project / General Task,3,2
A-1991,Documentation,2,1
A-1991,Build & Release Engineering,1,1
A-1992,Bug fixing / Maintenance,2,1
A-1992,Feature / Improvement Implementation,2,1
A-1992,Documentation,1,1
A-1992,Project / General Task,1,1
A-1993,Bug fixing / Maintenance,1,1
A-1994,Bug fixing / Maintenance,4,2
A-1994,Documentation,1,1
A-1995,Bug fixing / Maintenance,43,5
A-1995,Project / General Task,33,5
A-1995,Testing & Verification,25,5
A-1995,Feature / Improvement Implementation,20,4
A-1995,Build & Release Engineering,16,4
A-1995,Documentation,3,2
A-1995,Other,2,1
A-1995,Code Refactoring & Cleanup,1,1
A-1995,Design & API Evolution,1,1
A-1996,Feature / Improvement Implementation,1,1
A-1997,Other,65,5
A-1997,Bug fixing / Maintenance,52,5
A-1997,Testing & Verification,42,5
A-1997,Feature / Improvement Implementation,22,5
A-1997,Build & Release Engineering,8,3
A-1997,Documentation,2,1
A-1997,Design & API Evolution,1,1
A-1997,Performance Optimization,1,1
A-1997,Project / General Task,1,1
A-1998,Bug fixing / Maintenance,73,5
A-1998,Feature / Improvement Implementation,32,5
A-1998,Testing & Verification,15,4
A-1998,Design & API Evolution,7,3
A-1998,Other,3,2
A-1998,Code Refactoring & Cleanup,2,1
A-1998,Performance Optimization,1,1
A-1999,Bug fixing / Maintenance,35,5
A-1999,Feature / Improvement Implementation,7,3
A-1999,Testing & Verification,3,2
A-1999,Build & Release Engineering,2,1
A-1999,Design & API Evolution,1,1
A-1999,Other,1,1
A-2,Bug fixing / Maintenance,112,5
A-2,Feature / Improvement Implementation,39,5
A-2,Testing & Verification,37,5
A-2,Documentation,11,4
A-2,Design & API Evolution,3,2
A-2,Other,3,2
A-2,Project / General Task,3,2
A-2,Code Refactoring & Cleanup,2,1
A-2,Build & Release Engineering,1,1
A-20,Bug fixing / Maintenance,37,5
A-20,Testing & Verification,26,5
A-20,Feature / Improvement Implementation,10,3
A-20,Design & API Evolution,8,3
A-20,Other,6,3
A-20,Build & Release Engineering,4,2
A-20,Project / General Task,4,2
A-20,Documentation,3,2
A-200,Bug fixing / Maintenance,1,1
A-2000,Bug fixing / Maintenance,145,5
A-2000,Feature / Improvement Implementation,28,5
A-2000,Other,20,4
A-2000,Testing & Verification,6,3
A-2000,Documentation,4,2
A-2000,Code Refactoring & Cleanup,2,1
A-2000,Performance Optimization,2,1
A-2000,Build & Release Engineering,1,1
A-2000,Project / General Task,1,1
A-2001,Bug fixing / Maintenance,122,5
A-2001,Feature / Improvement Implementation,49,5
A-2001,Build & Release Engineering,6,3
A-2001,Testing & Verification,4,2
A-2001,Code Refactoring & Cleanup,2,1
A-2001,Design & API Evolution,2,1
A-2001,Other,2,1
A-2001,Performance Optimization,1,1
A-2002,Other,91,5
A-2002,Bug fixing / Maintenance,1,1
A-2002,Documentation,1,1
A-2002,Feature / Improvement Implementation,1,1
A-2003,Bug fixing / Maintenance,18,4
A-2003,Feature / Improvement Implementation,3,2
A-2003,Build & Release Engineering,1,1
A-2003,Project / General Task,1,1
A-2003,Testing & Verification,1,1
A-2004,Bug fixing / Maintenance,50,5
A-2004,Feature / Improvement Implementation,14,4
A-2004,Testing & Verification,4,2
A-2004,Other,2,1
A-2004,Build & Release Engineering,1,1
A-2004,Code Refactoring & Cleanup,1,1
A-2004,Documentation,1,1
A-2005,Bug fixing / Maintenance,9,3
A-2005,Feature / Improvement Implementation,3,2
A-2005,Build & Release Engineering,2,1
A-2006,Bug fixing / Maintenance,4,2
A-2006,Feature / Improvement Implementation,3,2
A-2007,Bug fixing / Maintenance,42,5
A-2007,Feature / Improvement Implementation,7,3
A-2007,Design & API Evolution,2,1
A-2007,Build & Release Engineering,1,1
A-2008,Feature / Improvement Implementation,2,1
A-2008,Bug fixing / Maintenance,1,1
A-2008,Performance Optimization,1,1
A-2009,Bug fixing / Maintenance,22,5
A-2009,Feature / Improvement Implementation,3,2
A-201,Bug fixing / Maintenance,1,1
A-2010,Performance Optimization,1,1
A-2011,Bug fixing / Maintenance,63,5
A-2011,Feature / Improvement Implementation,42,5
A-2011,Other,36,5
A-2011,Testing & Verification,5,2
A-2011,Build & Release Engineering,4,2
A-2011,Design & API Evolution,4,2
A-2011,Project / General Task,3,2
A-2011,Performance Optimization,2,1
A-2012,Bug fixing / Maintenance,118,5
A-2012,Feature / Improvement Implementation,31,5
A-2012,Other,23,5
A-2012,Testing & Verification,5,2
A-2012,Design & API Evolution,4,2
A-2012,Build & Release Engineering,2,1
A-2012,Documentation,2,1
A-2012,Performance Optimization,1,1
A-2013,Bug fixing / Maintenance,126,5
A-2013,Feature / Improvement Implementation,23,5
A-2013,Testing & Verification,5,2
A-2013,Other,4,2
A-2013,Design & API Evolution,3,2
A-2013,Build & Release Engineering,2,1
A-2014,Bug fixing / Maintenance,5,2
A-2014,Feature / Improvement Implementation,4,2
A-2015,Bug fixing / Maintenance,17,4
A-2015,Feature / Improvement Implementation,3,2
A-2015,Other,2,1
A-2016,Bug fixing / Maintenance,92,5
A-2016,Feature / Improvement Implementation,13,4
A-2016,Testing & Verification,3,2
A-2016,Build & Release Engineering,2,1
A-2016,Performance Optimization,2,1
A-2016,Other,1,1
A-2017,Bug fixing / Maintenance,24,5
A-2017,Feature / Improvement Implementation,5,2
A-2017,Testing & Verification,4,2
A-2017,Project / General Task,1,1
A-2018,Bug fixing / Maintenance,1,1
A-2018,Feature / Improvement Implementation,1,1
A-2019,Bug fixing / Maintenance,2,1
A-2019,Feature / Improvement Implementation,2,1
A-202,Bug fixing / Maintenance,34,5
A-202,Feature / Improvement Implementation,18,4
A-202,Testing & Verification,18,4
A-202,Build & Release Engineering,7,3
A-202,Documentation,7,3
A-202,Design & API Evolution,4,2
A-202,Other,4,2
A-202,Project / General Task,2,1
A-2020,Bug fixing / Maintenance,10,3
A-2020,Build & Release Engineering,1,1
A-2020,Feature / Improvement Implementation,1,1
A-2021,Bug fixing / Maintenance,2,1
A-2022,Bug fixing / Maintenance,28,5
A-2022,Feature / Improvement Implementation,5,2
A-2022,Build & Release Engineering,1,1
A-2022,Design & API Evolution,1,1
A-2022,Testing & Verification,1,1
A-2023,Bug fixing / Maintenance,25,5
A-2023,Feature / Improvement Implementation,5,2
A-2023,Build & Release Engineering,1,1
A-2024,Bug fixing / Maintenance,1,1
A-2025,Bug fixing / Maintenance,6,3
A-2025,Design & API Evolution,3,2
A-2025,Other,1,1
A-2026,Bug fixing / Maintenance,4,2
A-2026,Performance Optimization,1,1
A-2027,Bug fixing / Maintenance,43,5
A-2027,Feature / Improvement Implementation,12,4
A-2027,Other,2,1
A-2027,Performance Optimization,1,1
A-2028,Bug fixing / Maintenance,27,5
A-2028,Other,9,3
A-2028,Feature / Improvement Implementation,7,3
A-2028,Testing & Verification,4,2
A-2028,Design & API Evolution,2,1
A-2029,Bug fixing / Maintenance,4,2
A-2029,Other,4,2
A-2029,Feature / Improvement Implementation,2,1
A-2029,Testing & Verification,2,1
A-2029,Design & API Evolution,1,1
A-2029,Performance Optimization,1,1
A-203,Other,137,5
A-203,Bug fixing / Maintenance,133,5
A-203,Testing & Verification,111,5
A-203,Feature / Improvement Implementation,107,5
A-203,Design & API Evolution,26,5
A-203,Build & Release Engineering,19,4
A-203,Project / General Task,8,3
A-203,Documentation,4,2
A-203,Performance Optimization,2,1
A-2030,Bug fixing / Maintenance,29,5
A-2030,Testing & Verification,4,2
A-2030,Design & API Evolution,1,1
A-2030,Feature / Improvement Implementation,1,1
A-2031,Bug fixing / Maintenance,2,1
A-2031,Build & Release Engineering,2,1
A-2031,Project / General Task,1,1
A-2032,Bug fixing / Maintenance,8,3
A-2033,Bug fixing / Maintenance,14,4
A-2034,Bug fixing / Maintenance,3,2
A-2034,Testing & Verification,2,1
A-2035,Bug fixing / Maintenance,19,4
A-2035,Testing & Verification,6,3
A-2035,Other,5,2
A-2035,Feature / Improvement Implementation,2,1
A-2035,Design & API Evolution,1,1
A-2035,Performance Optimization,1,1
A-2036,Bug fixing / Maintenance,2,1
A-2037,Bug fixing / Maintenance,112,5
A-2037,Feature / Improvement Implementation,9,3
A-2037,Testing & Verification,3,2
A-2037,Documentation,1,1
A-2037,Other,1,1
A-2038,Bug fixing / Maintenance,4,2
A-2038,Testing & Verification,2,1
A-2038,Feature / Improvement Implementation,1,1
A-2039,Bug fixing / Maintenance,12,4
A-2039,Build & Release Engineering,1,1
A-2039,Feature / Improvement Implementation,1,1
A-2039,Performance Optimization,1,1
A-2039,Testing & Verification,1,1
A-204,Bug fixing / Maintenance,1,1
A-2040,Bug fixing / Maintenance,26,5
A-2040,Feature / Improvement Implementation,2,1
A-2040,Testing & Verification,1,1
A-2041,Bug fixing / Maintenance,10,3
A-2041,Other,2,1
A-2041,Build & Release Engineering,1,1
A-2041,Design & API Evolution,1,1
