Task_ID,Topo_Level,Batch_Index,Summary,Task_Tag,Priority,Duration_Hours,Assigned_To,Start_Hour,End_Hour,Skill_Match,Topo_Order
43,1,1,4 javadoc warnings (broken glass),Documentation,Trivial,2.0,A-62,0.0,2.0,0,1
81,1,1,Validation structure of interface methods should be cleaned up,Bug fixing / Maintenance,Trivial,1.6,A-213,0.0,1.6,1,2
10,1,1,Service interface needs toElement() and ServiceElement interface needs toComponent(),Design & API Evolution,Minor,3.0,A-153,0.0,3.0,0,3
101,1,1,OMXMLElementTest class incorrectly returning the DOMXMLElementTest class as its test suit.,Testing & Verification,Minor,3.0,A-265,0.0,3.0,0,4
11,1,1,Service should have getEndpoint() method for consistency,Bug fixing / Maintenance,Minor,2.5,A-110,0.0,2.5,0,5
111,1,1,XMLElement should provide a method to retrieve its text content.,Feature / Improvement Implementation,Minor,2.0,A-131,0.0,2.0,1,6
113,1,1,WSDL-viewer contribution,Feature / Improvement Implementation,Minor,2.0,A-409,0.0,2.0,1,7
126,1,1,Calling getSource() method on XMLElement interface returns NullPointerException in OM implementation ,Bug fixing / Maintenance,Minor,3.0,A-71,0.0,3.0,0,8
131,1,1,Code should use Java generics,Feature / Improvement Implementation,Minor,3.0,A-308,0.0,3.0,0,9
135,1,1,Exception when serializing empty Description.,Bug fixing / Maintenance,Minor,2.0,A-275,0.0,2.0,1,10
137,1,1,Improve User Guide,Documentation,Minor,2.5,A-380,0.0,2.5,0,11
15,1,1,DOMWSDLReader.parseBinding() check that we have a valid NCName before setting it on the new BindingImpl,Bug fixing / Maintenance,Minor,3.0,A-351,0.0,3.0,0,12
150,1,1,"WSDL-viewer does not distinguish between nillable=""true"" and nillable=""false""",Bug fixing / Maintenance,Minor,2.5,A-38,0.0,2.5,0,13
17,1,1,Parse a WSDL document from a DOM Element,Documentation,Minor,3.0,A-9,0.0,3.0,0,14
23,1,1,StAX based parsing for Woden,Feature / Improvement Implementation,Minor,3.0,A-263,0.0,3.0,0,15
29,1,1,Move trunk from .../woden/java to .../woden/trunk/java,Project / General Task,Minor,3.0,A-225,0.0,3.0,0,16
37,1,1,Problem with Test Case: javax/xml/namespace/QNameTest/testGoodDeserializeQNameWithoutPrefix(),Testing & Verification,Minor,3.0,A-391,0.0,3.0,0,17
38,1,1,Multiple wsdl*xsd files,Feature / Improvement Implementation,Minor,3.0,A-93,0.0,3.0,0,18
6,1,1,Duplicate Validation feature constant,Project / General Task,Minor,3.0,A-151,0.0,3.0,0,19
69,1,1,readWSDL method args should be java.net.URI instead of String,Feature / Improvement Implementation,Minor,3.0,A-101,0.0,3.0,0,20
79,1,1,Implement the EBNF grammar for HTTP Location,Feature / Improvement Implementation,Minor,2.5,A-57,0.0,2.5,0,21
86,1,1,Document the URI Resolver in the Woden userguide.,Documentation,Minor,3.0,A-182,0.0,3.0,0,22
96,1,1,style default from interface not applied to operations,Bug fixing / Maintenance,Minor,2.5,A-181,0.0,2.5,0,23
97,1,1,"parser does not handle faults with element=""#any"" etc.",Bug fixing / Maintenance,Minor,2.0,A-126,0.0,2.0,1,24
99,1,1,Use svn:eol-style=native,Bug fixing / Maintenance,Minor,2.5,A-325,0.0,2.5,0,25
1,1,1,Create an Ant Task to Validate a Set of WSDL 2.0 Files,Feature / Improvement Implementation,Major,4.4,A-236,0.0,4.4,0,26
100,1,1,OMWSDLReader mismatch with DOMWSDLFactory,Bug fixing / Maintenance,Major,2.2,A-106,0.0,2.2,1,27
