Task_ID,Topo_Level,Summary,Task_Tag,Priority,Duration_Hours,Assigned_To,Start_Hour,End_Hour,Skill_Match,Topo_Order
43,1,4 javadoc warnings (broken glass),Documentation,Trivial,1.6,A-391,0.0,1.6,0,1
81,1,Validation structure of interface methods should be cleaned up,Bug fixing / Maintenance,Trivial,1.6,A-207,0.0,1.6,1,2
10,1,Service interface needs toElement() and ServiceElement interface needs toComponent(),Design & API Evolution,Minor,2.0,A-132,0.0,2.0,0,3
101,1,OMXMLElementTest class incorrectly returning the DOMXMLElementTest class as its test suit.,Testing & Verification,Minor,2.0,A-225,0.0,2.0,1,4
11,1,Service should have getEndpoint() method for consistency,Bug fixing / Maintenance,Minor,2.0,A-46,0.0,2.0,1,5
111,1,XMLElement should provide a method to retrieve its text content.,Feature / Improvement Implementation,Minor,2.0,A-252,0.0,2.0,0,6
113,1,WSDL-viewer contribution,Feature / Improvement Implementation,Minor,2.0,A-74,0.0,2.0,0,7
126,1,Calling getSource() method on XMLElement interface returns NullPointerException in OM implementation ,Bug fixing / Maintenance,Minor,2.0,A-303,0.0,2.0,1,8
131,1,Code should use Java generics,Feature / Improvement Implementation,Minor,2.0,A-184,0.0,2.0,1,9
135,1,Exception when serializing empty Description.,Bug fixing / Maintenance,Minor,2.0,A-415,0.0,2.0,1,10
137,1,Improve User Guide,Documentation,Minor,2.0,A-247,0.0,2.0,1,11
15,1,DOMWSDLReader.parseBinding() check that we have a valid NCName before setting it on the new BindingImpl,Bug fixing / Maintenance,Minor,2.0,A-328,0.0,2.0,1,12
150,1,"WSDL-viewer does not distinguish between nillable=""true"" and nillable=""false""",Bug fixing / Maintenance,Minor,2.0,A-158,0.0,2.0,1,13
17,1,Parse a WSDL document from a DOM Element,Documentation,Minor,2.0,A-383,0.0,2.0,1,14
23,1,StAX based parsing for Woden,Feature / Improvement Implementation,Minor,2.0,A-57,0.0,2.0,1,15
29,1,Move trunk from .../woden/java to .../woden/trunk/java,Project / General Task,Minor,2.0,A-200,0.0,2.0,1,16
37,1,Problem with Test Case: javax/xml/namespace/QNameTest/testGoodDeserializeQNameWithoutPrefix(),Testing & Verification,Minor,2.0,A-139,0.0,2.0,1,17
